epoch,step,train_loss,val_loss,lr,tokens_per_sec,elapsed_min
24,14900,0.4425,,7.393e-05,1459.3,423.25
24,14950,0.425832,,7.332e-05,1447.2,424.62
24,15000,0.321156,,7.271e-05,1454.0,425.98
24,15000,,0.344813,7.271e-05,1454.0,427.24
24,15050,0.355697,,7.209e-05,1352.3,428.85
24,15100,0.348955,,7.148e-05,1465.3,430.18
25,15150,0.459417,,7.087e-05,1270.3,431.71
25,15200,0.331852,,7.026e-05,1496.0,433.07
25,15250,0.626772,,6.966e-05,1461.0,434.42
25,15300,0.329267,,6.905e-05,1424.2,435.8
25,15350,0.399479,,6.844e-05,1387.8,437.24
25,15400,0.262685,,6.784e-05,1398.3,438.66
25,15450,0.296761,,6.724e-05,1324.1,440.14
25,15500,0.262714,,6.664e-05,1365.4,441.61
25,15500,,0.36347,6.664e-05,1365.4,442.9
25,15550,0.313618,,6.604e-05,1408.0,444.34
25,15600,0.342956,,6.544e-05,1363.1,445.79
25,15650,0.314575,,6.484e-05,1374.5,447.24
25,15700,0.433016,,6.425e-05,1360.5,448.69
25,15750,0.387548,,6.365e-05,1409.9,450.13
26,15800,0.299363,,6.306e-05,1549.4,451.4
26,15850,0.526795,,6.247e-05,1531.4,452.7
26,15900,0.405084,,6.188e-05,1550.4,453.98
26,15950,0.414653,,6.129e-05,1545.1,455.27
26,16000,0.400316,,6.07e-05,1527.9,456.57
26,16000,,0.354648,6.07e-05,1527.9,457.74
26,16050,0.485068,,6.012e-05,1540.2,459.07
26,16100,0.353582,,5.954e-05,1560.9,460.34
26,16150,0.309887,,5.895e-05,1547.3,461.62
26,16200,0.345494,,5.837e-05,1530.3,462.92
26,16250,0.403144,,5.78e-05,1557.7,464.2
26,16300,0.352833,,5.722e-05,1563.1,465.47
26,16350,0.487846,,5.664e-05,1549.7,466.75
27,16400,0.415477,,5.607e-05,1547.1,468.03
27,16450,0.364884,,5.55e-05,1535.6,469.33
27,16500,0.259126,,5.493e-05,1548.1,470.62
27,16500,,0.346301,5.493e-05,1548.1,471.7
27,16550,0.542051,,5.436e-05,1694.4,472.88
27,16600,0.494613,,5.38e-05,1691.8,474.05
27,16650,0.374755,,5.323e-05,1730.9,475.21
27,16700,0.409983,,5.267e-05,1734.9,476.36
27,16750,0.360302,,5.211e-05,1701.7,477.55
27,16800,0.499078,,5.155e-05,1764.6,478.67
27,16850,0.277754,,5.1e-05,1764.0,479.8
27,16900,0.352037,,5.044e-05,1781.2,480.91
27,16950,0.344248,,4.989e-05,1714.9,482.05
27,17000,0.557456,,4.934e-05,1731.2,483.2
27,17000,,0.352934,4.934e-05,1731.2,484.21
28,17050,0.456634,,4.879e-05,1587.2,485.48
28,17100,0.386663,,4.825e-05,1701.7,486.65
28,17150,0.219546,,4.77e-05,1704.1,487.82
28,17200,0.381994,,4.716e-05,1679.5,489.0
28,17250,0.451564,,4.662e-05,1670.9,490.18
28,17300,0.48144,,4.608e-05,1677.5,491.36
28,17350,0.200552,,4.555e-05,1643.0,492.57
28,17400,0.365995,,4.501e-05,1454.8,493.93
28,17450,0.249452,,4.448e-05,1513.5,495.25
28,17500,0.44779,,4.395e-05,1537.3,496.54
28,17500,,0.34795,4.395e-05,1537.3,497.73
