step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
225,0.7824,0.7824,0.8529,-0.2218,0.0000,1.0000
226,0.7366,0.7366,0.8692,-0.2190,0.1001,1.0000
227,0.7459,0.7459,0.8573,-0.7269,0.0137,1.0000
228,0.7120,0.7120,0.8727,-0.4174,0.0954,1.0000
229,0.7877,0.7877,0.8593,-0.2694,0.0000,1.0000
230,0.8169,0.8169,0.8557,-0.3093,0.1526,1.0000
231,0.8005,0.8005,0.8467,0.0548,0.6553,1.0000
232,0.7111,0.7111,0.8868,-0.5411,0.0000,1.0000
233,0.7625,0.7625,0.8632,-0.1744,0.6033,1.0000
234,0.7422,0.7422,0.8742,-0.3541,1.4279,1.0000
235,0.7588,0.7588,0.8692,-0.3989,0.0000,1.0000
236,0.7935,0.7935,0.8599,-0.1933,0.3942,1.0000
237,0.7248,0.7248,0.8610,-0.1205,0.4772,1.0000
238,0.7957,0.7957,0.8643,-0.2563,0.0000,1.0000
239,0.7867,0.7867,0.8398,-0.0850,0.3075,1.0000
240,0.7017,0.7017,0.8786,-0.7258,0.0000,1.0000
241,0.7582,0.7582,0.8642,-0.4618,0.5979,1.0000
242,0.7371,0.7371,0.8659,-0.4110,0.0000,1.0000
243,0.6833,0.6833,0.8583,-0.3963,0.0000,1.0000
244,0.7521,0.7521,0.8681,-0.4706,0.0000,1.0000
245,0.7084,0.7084,0.8694,-0.5108,0.0469,1.0000
246,0.6983,0.6983,0.8640,-0.1976,0.2728,1.0000
247,0.7400,0.7400,0.8706,-0.2497,1.4604,1.0000
248,0.7517,0.7517,0.8722,-0.7313,0.0554,1.0000
249,0.7049,0.7049,0.8794,-0.1719,0.5512,1.0000
250,0.7591,0.7591,0.8653,-0.0678,0.2719,1.0000
251,0.7347,0.7347,0.8664,-0.4866,0.0000,1.0000
252,0.7499,0.7499,0.8691,-0.5684,0.0000,1.0000
253,0.7201,0.7201,0.8662,-0.6989,0.0000,1.0000
254,0.6937,0.6937,0.8648,0.0932,0.0000,1.0000
255,0.7052,0.7052,0.8662,-0.2608,0.1896,1.0000
256,0.7695,0.7695,0.8512,-0.2625,0.8620,1.0000
257,0.7365,0.7365,0.8688,-0.3359,0.0389,1.0000
258,0.7096,0.7096,0.8646,-1.1163,0.0000,1.0000
259,0.7828,0.7828,0.8594,-0.0759,0.4209,1.0000
260,0.6698,0.6698,0.8756,-0.0528,0.8678,1.0000
261,0.7268,0.7268,0.8733,-0.5479,0.5969,1.0000
262,0.7284,0.7284,0.8464,0.1938,2.1044,1.0000
263,0.7196,0.7196,0.8608,-1.0410,0.0000,1.0000
264,0.7262,0.7262,0.8744,-0.2695,0.3687,1.0000
265,0.7414,0.7414,0.8765,-0.2012,0.5253,1.0000
266,0.7180,0.7180,0.8720,-0.2722,0.0000,1.0000
267,0.6827,0.6827,0.8655,-0.5648,0.7024,1.0000
268,0.7330,0.7330,0.8703,-0.1912,1.0238,1.0000
269,0.7874,0.7874,0.8709,-0.3160,0.5861,1.0000
270,0.8156,0.8156,0.8543,0.0528,0.0000,1.0000
271,0.7862,0.7862,0.8525,-0.5818,0.6692,1.0000
272,0.7158,0.7158,0.8545,-0.4643,0.5709,1.0000
273,0.7637,0.7637,0.8563,-0.2402,0.0000,1.0000
274,0.7580,0.7580,0.8645,-0.3459,0.9330,1.0000
275,0.7493,0.7493,0.8607,-0.3287,0.0000,1.0000
276,0.6921,0.6921,0.8741,-0.3831,1.4360,1.0000
277,0.7557,0.7557,0.8417,-0.3214,0.2148,1.0000
278,0.7314,0.7314,0.8743,-0.5180,0.3823,1.0000
279,0.7789,0.7789,0.8511,-0.3552,0.3929,1.0000
280,0.7392,0.7392,0.8682,-0.4922,0.4892,1.0000
281,0.7675,0.7675,0.8648,-0.5268,0.0876,1.0000
282,0.7279,0.7279,0.8648,-0.5543,1.4862,1.0000
